Team,tag_list,network_list
Jacksonville Jaguars,"Jacksonville, Florida, EverBank Field, Gus Bradley, American Football Conference, South, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Tennessee Titans,"Nashville, Tennessee, Nissan Stadium, Mike Mularkey, American Football Conference, South, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Denver Broncos,"Denver, Colorado, Sports Authority Field at Mile High, Gary Kubiak, American Football Conference, West, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Kansas City Chiefs,"Kansas City, Missouri, Arrowhead Stadium, Andy Reid, American Football Conference, West, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Oakland Raiders,"Oakland, California, Oakland Coliseum, Jack Del Rio, American Football Conference, West, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
San Diego Chargers,"San Diego, California, Qualcomm Stadium, Mike McCoy, American Football Conference, West, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Dallas Cowboys,"Arlington, Texas, AT&T Stadium, Jason Garrett, National Football Conference, East, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
New York Giants,"East Rutherford, New Jersey, MetLife Stadium, Ben McAdoo, National Football Conference, East, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Philadelphia Eagles,"Philadelphia, Pennsylvania, Lincoln Financial Field, Doug Pederson, National Football Conference, East, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Washington Redskins,"Landover, Maryland, FedExField, Jay Gruden, National Football Conference, East, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Chicago Bears,"Chicago, Illinois, Soldier Field, John Fox, National Football Conference, North, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Detroit Lions,"Detroit, Michigan, Ford Field, Jim Caldwell, National Football Conference, North, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Green Bay Packers,"Green Bay, Wisconsin, Lambeau Field, Mike McCarthy, National Football Conference, North, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Minnesota Vikings,"Minneapolis, Minnesota, U.S. Bank Stadium, Mike Zimmer, National Football Conference, North, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Atlanta Falcons,"Atlanta, Georgia, Georgia Dome, Dan Quinn, National Football Conference, South, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Carolina Panthers,"Charlotte, North Carolina, Bank of America Stadium, Ron Rivera, National Football Conference, South, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
New Orleans Saints,"New Orleans, Louisiana, Mercedes-Benz Superdome, Sean Payton, National Football Conference, South, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Tampa Bay Buccaneers,"Tampa, Florida, Raymond James Stadium, Dirk Koetter, National Football Conference, South, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Arizona Cardinals,"Glendale, Arizona, University of Phoenix Stadium, Bruce Arians, National Football Conference, West, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Los Angeles Rams,"Los Angeles, California, Los Angeles Memorial Coliseum, Jeff Fisher, National Football Conference, West, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
San Francisco 49ers,"Santa Clara, California, Levi's Stadium, Chip Kelly, National Football Conference, West, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
Seattle Seahawks,"Seattle, Washington, CenturyLink Field, Pete Carroll, National Football Conference, West, Seasons, Preseason , Hall of Fame Game, Regular season , Kickoff game, Monday Night Football, International Series, Thanksgiving games, Christmas games, Playoffs , Streaks, Droughts, AFC Championship, NFC Championship, Super Bowl , champions, quarterbacks, Pro Bowl, Owners, Officials, Properties, Stadiums, Records , individual, team, Super Bowl, All time win–loss, All-Pro, Numbers, Hall of Fame, Lore, Nicknames, AFL , Merger, NFL Network, Management Council, NFLPA, Player conduct , Suspensions, Player misconduct, Combine, Draft, Training camp, Rivalries, NFL Foundation, Tied games, Canceled games, Lockouts, Controversies, Cheerleading, Mascots, Fantasy football, Player, NFL, Football, Pro","Pro, CBS, Fox, NBC, ESPN, NFL Network, Twitter"
